share;Наименование цб;ISIN;Номинал;Валюта номинала;Объем выпуска;Дата погашения;Утренняя сессия;Вечерняя сессия;Сессия выходного дня;Уровень листинга;Размер лота;Для квал. инвесторов
TGKA;ТГК-1;RU000A0JNUD0;0,01;RUB;3 854 341 416 571;-;Да;Да;Да;1;100 000;Нет
FEES;Россети;RU000A0JPNN9;0,5;RUB;2 113 460 101 477;-;Да;Да;Да;1;10 000;Нет
TGKB;ТГК-2;RU000A0JNGS7;0,01;RUB;1 458 404 850 747;-;Да;Да;Да;3;1 000 000;Нет
TGKN;ТГК-14;RU000A0H1ES3;0,001;RUB;1 357 945 609 114;-;Да;Да;Да;2;100 000;Нет
UNAC;iАвиастКао;RU000A0JPLZ7;0,27;RUB;1 009 366 990 290;-;Да;Да;Да;3;1 000;Нет
RGSS;РГС СК ао;RU0008010855;0,03;RUB;489 503 740 915;-;Да;Да;Да;3;1 000;Нет
ELMT;Элемент;RU000A102093;0,05;RUB;469 725 539 040;-;Да;Да;Да;3;1 000;Нет
HYDR;РусГидро;RU000A0JPKH7;1;RUB;444 793 377 038;-;Да;Да;Да;1;1 000;Нет
USBN;УралСиб ао;RU0006929536;0,1;RUB;360 134 697 357;-;Да;Да;Да;3;10 000;Нет
UGLD;ЮГК;RU000A0JPP37;0,001;RUB;222 778 849 052;-;Да;Да;Да;2;1 000;Нет
MRKV;РсетВол ао;RU000A0JPPN4;0,1;RUB;188 307 958 732;-;Да;Да;Да;2;10 000;Нет
MRKY;РоссЮг ао;RU000A0JPPG8;0,1;RUB;151 641 426 354;-;Да;Да;Да;3;10 000;Нет
OGKB;ОГК-2 ао;RU000A0JNG55;0,3627;RUB;136 207 331 098;-;Да;Да;Да;2;1 000;Нет
MRKP;РСетиЦП ао;RU000A0JPN96;0,1;RUB;112 697 817 043;-;Да;Да;Да;2;10 000;Нет
IRAO;ИнтерРАОао;RU000A0JPNM1;2,8098;RUB;104 400 000 000;-;Да;Да;Да;1;100;Нет
FIXR;Фикс Прайс;RU000A10B5G8;0,001;RUB;100 000 000 000;-;Да;Да;Да;1;1 000;Нет
MRKZ;РСетиСЗ ао;RU000A0JPPB9;0,1;RUB;95 785 923 138;-;Да;Да;Да;2;10 000;Нет
MRKS;РсетСиб ао;RU000A0JPPF0;0,1;RUB;94 815 163 249;-;Да;Да;Да;3;1 000;Нет
MRKU;Россети Ур;RU000A0JPPT1;0,1;RUB;87 430 485 711;-;Да;Да;Да;2;10 000;Нет
UPRO;Юнипро ао;RU000A0JNGA5;0,4;RUB;63 048 706 145;-;Да;Да;Да;1;1 000;Нет
KCHE;КамчатЭ ао;RU0006753498;0,1;RUB;58 294 409 860;-;Да;Да;Да;3;10 000;Нет
MSRS;РСетиМР ао;RU000A0ET7Y7;0,5;RUB;48 707 091 574;-;Да;Да;Да;2;1 000;Нет
MRKC;РоссЦентр;RU000A0JPPL8;0,1;RUB;42 217 941 468;-;Да;Да;Да;2;1 000;Нет
MSNG;#ИМЯ?;RU0008958863;1;RUB;39 749 359 700;-;Да;Да;Да;1;1 000;Нет
SNGS;Сургнфгз;RU0008926258;1;RUB;35 725 994 705;-;Да;Да;Да;2;100;Нет
ELFV;ЭЛ5Энер ао;RU000A0F5UN3;1;RUB;35 371 898 370;-;Да;Да;Да;1;1 000;Нет
CBOM;МКБ ао;RU000A0JUG31;1;RUB;33 429 709 866;-;Да;Да;Да;1;100;Нет
ROLO;Русолово;RU000A0JU1B0;0,1;RUB;30 001 000 000;-;Да;Да;Да;3;1 000;Нет
GAZP;ГАЗПРОМ ао;RU0007661625;5;RUB;23 673 512 900;-;Да;Да;Да;1;10;Нет
SVCB;Совкомбанк;RU000A0ZZAC4;0,1;RUB;22 516 228 905;-;Да;Да;Да;1;100;Нет
KUZB;КузнецкийБ;RU000A0JSQ66;0,01;RUB;22 503 490 875;-;Да;Да;Да;3;10 000;Нет
SBER;Сбербанк;RU0009029540;3;RUB;21 586 948 000;-;Да;Да;Да;1;1;Нет
TTLK;Таттел. ао;RU000A0HM5C1;0,1;RUB;20 843 976 400;-;Да;Да;Да;3;1 000;Нет
NMTP;НМТП ао;RU0009084446;0,01;RUB;19 259 815 400;-;Да;Да;Да;3;100;Нет
DVEC;ДЭК ао;RU000A0JP2W1;1;RUB;17 223 107 804;-;Да;Да;Да;3;1 000;Нет
TGKBP;ТГК-2 ап;RU000A0JNGT5;0,01;RUB;16 500 533 681;-;Да;Да;Да;3;100 000;Нет
SGZH;Сегежа;RU000A102XG9;0,1;RUB;15 690 000 000;-;Да;Да;Да;1;100;Нет
GMKN;ГМКНорНик;RU0007288411;0,01;RUB;15 286 339 700;-;Да;Да;Да;1;10;Нет
RUAL;РУСАЛ ао;RU000A1025V3;0,6565;RUB;15 193 014 862;-;Да;Да;Да;1;10;Нет
IRKT;Яковлев-3;RU0006752979;3;RUB;12 051 279 624;-;Да;Да;Да;3;100;Нет
MAGN;ММК;RU0009084396;1;RUB;11 174 330 000;-;Да;Да;Да;1;10;Нет
ROSN;Роснефть;RU000A0J2Q06;0,01;RUB;10 598 177 817;-;Да;Да;Да;1;1;Нет
YKEN;Якутскэнрг;RU0009257075;2,22;RUB;10 187 741 424;-;Да;Да;Да;3;10 000;Нет
AFKS;Система ао;RU000A0DQZE3;0,09;RUB;9 650 000 000;-;Да;Да;Да;1;100;Нет
LSNG;РСетиЛЭ;RU0009034490;1;RUB;8 523 785 320;-;Да;Да;Да;3;100;Нет
RTSB;ТНСэнРст;RU000A0D8PB4;0,02;RUB;8 128 764 676;-;Да;Да;Да;3;1 000;Нет
UTAR;ЮТэйр ао;RU0007661385;1;RUB;7 896 123 268;-;Да;Да;Да;3;100;Нет
SNGSP;Сургнфгз-п;RU0009029524;1;RUB;7 701 998 235;-;Да;Да;Да;2;10;Нет
APTK;Аптеки36и6;RU0008081765;0,64;RUB;7 630 433 826;-;Да;Да;Да;2;10;Нет
ALRS;АЛРОСА ао;RU0007252813;0,5;RUB;7 364 965 630;-;Да;Да;Да;1;10;Нет
NLMK;НЛМК ао;RU0009046452;1;RUB;5 993 227 240;-;Да;Да;Да;1;10;Нет
VTBR;ВТБ ао;RU000A0JP5V6;50;RUB;5 369 933 893;-;Да;Да;Да;1;1;Нет
SARE;СаратЭн-ао;RU0009100754;0,02;RUB;4 865 127 996;-;Да;Да;Да;3;10 000;Нет
SIBN;Газпрнефть;RU0009062467;0,0016;RUB;4 741 299 639;-;Да;Да;Да;3;1;Нет
AFLT;Аэрофлот;RU0009062285;1;RUB;3 975 771 215;-;Да;Да;Да;1;10;Нет
TORS;РСТомск ао;RU000A0ETZF2;0,4916;RUB;3 819 315 580;-;Да;Да;Да;3;10 000;Нет
SAGO;СамарЭн-ао;RU0009098255;0,25;RUB;3 480 630 296;-;Да;Да;Да;3;1 000;Нет
RTKM;Ростел -ао;RU0008943394;0,0025;RUB;3 282 997 929;-;Да;Да;Да;1;10;Нет
NVTK;Новатэк ао;RU000A0DKVS5;0,1;RUB;3 036 306 000;-;Да;Да;Да;1;1;Нет
FESH;ДВМП ао;RU0008992318;1;RUB;2 951 250 000;-;Да;Да;Да;2;10;Нет
UWGN;ОВК ао;RU000A0JVBT9;1;RUB;2 905 885 544;-;Да;Да;Да;3;1;Нет
FLOT;Совкомфлот;RU000A0JXNU8;1;RUB;2 374 993 901;-;Да;Да;Да;1;10;Нет
MOEX;МосБиржа;RU000A0JR4A1;1;RUB;2 276 401 458;-;Да;Да;Да;1;10;Нет
SLEN;Сахэнер ао;RU0009280465;10;RUB;2 237 123 773;-;Да;Да;Да;3;100;Нет
CARM;СТГ;RU000A105NV2;1;RUB;2 203 330 301;-;Да;Да;Да;3;100;Нет
TATN;Татнфт 3ао;RU0009033591;1;RUB;2 178 690 700;-;Да;Да;Да;1;1;Нет
MRKK;Россети СК;RU000A0JPPQ7;1;RUB;2 093 354 170;-;Да;Да;Да;3;10;Нет
MTSS;МТС-ао;RU0007775219;0,1;RUB;1 998 381 575;-;Да;Да;Да;1;10;Нет
KZOS;ОргСинт ао;RU0009089825;1;RUB;1 785 114 000;-;Да;Да;Да;3;10;Нет
NKNC;НКНХ ао;RU0009100507;1;RUB;1 611 256 000;-;Да;Да;Да;3;10;Нет
TASB;ТамбЭнСб;RU000A0D8NG8;0,02;RUB;1 525 986 880;-;Да;Да;Да;3;1 000;Нет
SAREP;СаратЭн-ап;RU0009100762;0,0211;RUB;1 493 316 000;-;Да;Да;Да;3;10 000;Нет
PLZL;Полюс;RU000A0JNAA8;0,1;RUB;1 360 694 001;-;Да;Да;Да;1;1;Нет
MRSB;МордЭнСб;RU000A0D9AJ7;0,0136;RUB;1 345 037 710;-;Да;Да;Да;3;10 000;Нет
YKENP;Якутскэн-п;RU0007796827;2,22;RUB;1 332 635 125;-;Да;Да;Да;3;10 000;Нет
MGKL;МГКЛ;RU000A0JVJQ8;0,01;RUB;1 268 545 000;-;Да;Да;Да;3;100;Нет
BLNG;Белон ао;RU000A0J2QG8;0,01;RUB;1 150 000 000;-;Да;Да;Да;3;100;Нет
APRI;АПРИ;RU000A108LJ5;1;RUB;1 115 439 217;-;Да;Да;Да;3;10;Нет
OZPH;iОзонФарм;RU000A109B25;0,02;RUB;1 098 571 440;-;Да;Да;Да;2;10;Нет
WTCM;ЦМТ ао;RU0008137070;1;RUB;1 083 000 000;-;Да;Да;Да;3;100;Нет
TRMK;ТМК ао;RU000A0B6NK6;10;RUB;1 052 000 000;-;Да;Да;Да;2;10;Нет
SELG;Селигдар;RU000A0JPR50;1;RUB;1 030 000 000;-;Да;Да;Да;1;10;Нет
SBERP;Сбербанк-п;RU0009029557;3;RUB;1 000 000 000;-;Да;Да;Да;1;1;Нет
RAGR;Русагро;RU000A0JQUZ6;2,5;RUB;958 749 600;-;Да;Да;Да;1;1;Нет
JNOS;Славн-ЯНОС;RU0009100895;1;RUB;932 654 723;-;Да;Да;Да;3;100;Нет
RTSBP;ТНСэнРст-п;RU000A0D8PC2;0,02;RUB;925 737 256;-;Да;Да;Да;3;1 000;Нет
KLVZ;Кристалл;RU000A107KX0;0,01;RUB;921 052 700;-;Да;Да;Да;3;100;Нет
STSB;СтаврЭнСб;RU000A0ET1W4;0,0048;RUB;859 074 636;-;Да;Да;Да;3;1 000;Нет
PRFN;ТЕПЛАНТ ао;RU000A0JNXF9;0,1;RUB;838 287 450;-;Да;Да;Да;3;100;Нет
CHMF;СевСт-ао;RU0009046510;0,01;RUB;837 718 660;-;Да;Да;Да;1;1;Нет
YAKG;ЯТЭК ао;RU0007796819;1;RUB;826 919 375;-;Да;Да;Да;3;10;Нет
ASSB;АстрЭнСб;RU000A0D8MM8;0,007;RUB;773 900 078;-;Да;Да;Да;3;1 000;Нет
KMAZ;КАМАЗ;RU0008959580;50;RUB;707 229 559;-;Да;Да;Да;2;10;Нет
LKOH;ЛУКОЙЛ;RU0009024277;0,025;RUB;692 865 762;-;Да;Да;Да;1;1;Нет
RASP;Распадская;RU000A0B90N8;0,004;RUB;665 733 918;-;Да;Да;Да;2;10;Нет
PIKK;ПИК ао;RU000A0JP7J7;62,5;RUB;660 497 344;-;Да;Да;Да;1;1;Нет
